,DateTime,P001
306,2010-05-15 15:00:00,42.59
307,2010-05-15 15:10:00,74.83
308,2010-05-15 15:20:00,111.83000000000001
309,2010-05-15 15:30:00,22.32
310,2010-05-15 17:00:00,1.21
311,2010-05-15 17:10:00,0.7
312,2010-05-15 17:20:00,2.2699999999999996
313,2010-05-15 17:30:00,37.44000000000001
314,2010-05-15 17:40:00,3.85
315,2010-05-15 17:50:00,2.8499999999999996
316,2010-05-15 18:00:00,3.18
317,2010-05-15 18:10:00,2.7300000000000004
318,2010-05-15 18:20:00,0.33
319,2010-05-15 18:30:00,2.92
320,2010-05-15 18:40:00,0.65
321,2010-05-15 19:00:00,4.2299999999999995
322,2010-05-15 19:10:00,4.87
323,2010-05-15 19:20:00,2.1100000000000003
324,2010-05-15 20:00:00,0.97
325,2010-05-15 20:10:00,0.99
326,2010-05-15 20:20:00,0.63
327,2010-05-15 20:30:00,1.87
328,2010-05-15 20:40:00,0.66
329,2010-05-15 20:50:00,0.62
330,2010-05-15 21:00:00,2.77
331,2010-05-15 21:10:00,3.55
332,2010-05-15 21:20:00,1.93
333,2010-05-15 21:40:00,1.71
334,2010-05-15 22:00:00,5.17
335,2010-05-15 22:10:00,4.55
336,2010-05-15 22:20:00,2.02
337,2010-05-15 22:30:00,2.52
338,2010-05-15 22:40:00,4.55
339,2010-05-15 22:50:00,3.41
340,2010-05-15 23:00:00,0.1
341,2010-05-16 01:10:00,1.74
342,2010-05-16 01:20:00,0.9
343,2010-05-16 01:40:00,0.22
344,2010-05-16 01:50:00,1.35
345,2010-05-16 02:10:00,0.45
346,2010-05-16 02:20:00,1.35
347,2010-05-16 02:30:00,0.1
348,2010-05-16 02:40:00,0.45999999999999996
349,2010-05-16 03:40:00,139.40000000000003
350,2010-05-16 03:50:00,30.900000000000002
351,2010-05-16 04:10:00,0.41
352,2010-05-16 05:20:00,0.55
353,2010-05-16 05:30:00,0.19
354,2010-05-16 05:40:00,0.17
355,2010-05-16 06:10:00,0.33
356,2010-05-16 06:30:00,0.04
357,2010-05-16 06:40:00,2.85
358,2010-05-16 06:50:00,0.61
359,2010-05-16 07:10:00,4.22
360,2010-05-16 07:20:00,56.57
361,2010-05-16 07:30:00,71.72999999999999
362,2010-05-16 07:40:00,8.94
363,2010-05-16 07:50:00,2.07
364,2010-05-16 08:10:00,1.7199999999999998
365,2010-05-16 08:20:00,3.4200000000000004
366,2010-05-16 08:30:00,115.15999999999998
367,2010-05-16 08:40:00,22.360000000000003
368,2010-05-16 08:50:00,3.37
369,2010-05-16 09:00:00,8.319999999999999
370,2010-05-16 09:20:00,1.03
371,2010-05-16 10:00:00,2.9399999999999995
372,2010-05-16 10:10:00,1.29
373,2010-05-16 10:40:00,0.36
374,2010-05-16 10:50:00,4.700000000000001
375,2010-05-16 11:10:00,1.78
376,2010-05-16 11:20:00,9.790000000000001
377,2010-05-16 11:30:00,9.790000000000001
378,2010-05-16 11:40:00,3.43
379,2010-05-16 11:50:00,0.04
380,2010-05-16 13:20:00,0.7200000000000001
381,2010-05-16 14:30:00,0.09
382,2010-05-16 14:40:00,0.09
383,2010-05-16 16:00:00,0.37
384,2010-05-16 16:10:00,0.17
385,2010-05-16 16:40:00,0.4
386,2010-05-16 17:30:00,0.04
387,2010-05-16 18:00:00,0.9199999999999999
388,2010-05-16 18:10:00,48.190000000000005
389,2010-05-16 18:20:00,163.78
390,2010-05-16 18:30:00,50.07999999999999
391,2010-05-16 18:40:00,29.26
392,2010-05-16 18:50:00,5.83
393,2010-05-16 19:00:00,0.95
394,2010-05-16 19:10:00,0.61
395,2010-05-16 19:20:00,55.86999999999999
396,2010-05-16 19:30:00,164.73000000000005
397,2010-05-16 19:40:00,21.150000000000002
398,2010-05-16 19:50:00,1.05
399,2010-05-16 20:00:00,2.04
400,2010-05-16 20:10:00,0.97
401,2010-05-16 20:20:00,0.47
402,2010-05-16 20:30:00,1.06
403,2010-05-16 20:50:00,0.95
404,2010-05-16 21:30:00,5.940000000000001
405,2010-05-16 21:40:00,4.450000000000001
406,2010-05-16 21:50:00,69.35999999999999
407,2010-05-16 22:00:00,0.42
408,2010-05-16 22:10:00,1.22
409,2010-05-16 22:30:00,0.65
410,2010-05-16 22:40:00,1.6300000000000001
411,2010-05-16 22:50:00,3.9
412,2010-05-16 23:00:00,2.6
413,2010-05-16 23:10:00,0.97
414,2010-05-16 23:20:00,1.6300000000000001
415,2010-05-16 23:50:00,2.6
416,2010-05-17 00:00:00,5.5200000000000005
417,2010-05-17 00:10:00,2.31
418,2010-05-17 00:20:00,8.64
419,2010-05-17 00:40:00,11.380000000000003
420,2010-05-17 00:50:00,8.64
421,2010-05-17 01:00:00,3.1900000000000004
422,2010-05-17 01:10:00,0.45
423,2010-05-17 01:40:00,0.97
424,2010-05-17 01:50:00,68.79999999999998
425,2010-05-17 02:10:00,0.65
426,2010-05-17 02:30:00,0.33
427,2010-05-17 02:40:00,2.92
428,2010-05-17 03:10:00,0.98
429,2010-05-17 03:20:00,1.3
430,2010-05-17 03:30:00,0.97
431,2010-05-17 03:50:00,0.33
432,2010-05-17 04:00:00,1.62
433,2010-05-17 04:10:00,0.04
434,2010-05-17 04:50:00,0.35
435,2010-05-17 05:20:00,67.85000000000001
436,2010-05-17 05:40:00,0.9900000000000001
437,2010-05-17 06:10:00,0.16
438,2010-05-17 06:20:00,0.04
439,2010-05-17 06:30:00,8.67
440,2010-05-17 09:00:00,0.1
441,2010-05-17 09:20:00,8.200000000000001
442,2010-05-17 09:30:00,92.93999999999998
443,2010-05-17 09:40:00,19.69
444,2010-05-17 09:50:00,0.91
445,2010-05-17 10:10:00,2.22
446,2010-05-17 10:20:00,3.56
447,2010-05-17 10:30:00,0.45
448,2010-05-17 10:40:00,0.17
449,2010-05-17 11:00:00,0.04
450,2010-05-17 11:10:00,3.93
451,2010-05-17 11:20:00,132.14000000000001
452,2010-05-17 11:30:00,50.040000000000006
453,2010-05-17 11:40:00,0.33999999999999997
454,2010-05-17 11:50:00,0.52
455,2010-05-17 12:00:00,0.76
456,2010-05-17 12:20:00,0.49
457,2010-05-17 12:30:00,0.17
458,2010-05-17 13:10:00,2.89
459,2010-05-17 13:20:00,3.6400000000000006
460,2010-05-17 13:30:00,1.6300000000000001
461,2010-05-17 13:40:00,2.6
462,2010-05-17 13:50:00,5.5200000000000005
463,2010-05-17 14:00:00,0.98
464,2010-05-17 14:40:00,5.8500000000000005
465,2010-05-17 14:50:00,1.3
466,2010-05-17 15:10:00,3.29
467,2010-05-17 15:30:00,4.06
468,2010-05-17 15:40:00,3.8000000000000003
469,2010-05-17 16:00:00,4.760000000000001
470,2010-05-17 16:10:00,0.9299999999999999
471,2010-05-17 16:20:00,9.3
472,2010-05-17 16:30:00,1.39
473,2010-05-17 16:50:00,10.56
474,2010-05-17 17:00:00,70.17
475,2010-05-17 17:10:00,14.860000000000003
476,2010-05-17 17:20:00,15.020000000000003
477,2010-05-17 17:40:00,68.87
478,2010-05-17 17:50:00,147.65
479,2010-05-17 18:00:00,109.72
480,2010-05-17 18:20:00,3.6400000000000006
481,2010-05-17 18:30:00,1.37
482,2010-05-17 18:40:00,1.36
483,2010-05-17 18:50:00,0.6
484,2010-05-17 19:00:00,4.37
485,2010-05-17 19:10:00,3.09
486,2010-05-17 19:30:00,1.9
487,2010-05-17 19:50:00,0.35
488,2010-05-17 20:10:00,0.81
489,2010-05-17 20:20:00,0.34
490,2010-05-17 20:30:00,0.35
491,2010-05-17 20:40:00,0.42
492,2010-05-17 20:50:00,0.47
493,2010-05-17 21:00:00,2.65
494,2010-05-17 21:10:00,1.9500000000000002
495,2010-05-17 21:20:00,1.3
496,2010-05-17 21:40:00,1.37
497,2010-05-17 21:50:00,0.45
498,2010-05-17 22:00:00,2.2800000000000002
499,2010-05-17 22:10:00,2.27
500,2010-05-17 22:30:00,0.91
501,2010-05-17 22:40:00,0.33
502,2010-05-17 22:50:00,1.3
503,2010-05-18 00:00:00,1.62
504,2010-05-18 00:10:00,3.58
505,2010-05-18 00:20:00,5.8500000000000005
506,2010-05-18 00:40:00,0.97
507,2010-05-18 00:50:00,3.25
508,2010-05-18 01:00:00,1.6300000000000001
509,2010-05-18 01:10:00,1.41
510,2010-05-18 01:20:00,6.37
511,2010-05-18 01:30:00,4.09
512,2010-05-18 01:40:00,0.91
513,2010-05-18 01:50:00,3.1900000000000004
514,2010-05-18 02:00:00,1.8499999999999999
515,2010-05-18 02:10:00,1.96
516,2010-05-18 02:20:00,0.33
517,2010-05-18 02:30:00,1.62
518,2010-05-18 02:40:00,1.3
519,2010-05-18 02:50:00,0.65
520,2010-05-18 03:10:00,1.6300000000000001
521,2010-05-18 03:20:00,0.65
522,2010-05-18 03:30:00,0.65
523,2010-05-18 03:50:00,0.65
524,2010-05-18 04:00:00,0.6799999999999999
525,2010-05-18 04:10:00,0.97
526,2010-05-18 04:30:00,0.65
527,2010-05-18 05:10:00,3.9
528,2010-05-18 05:20:00,0.32
529,2010-05-18 05:30:00,0.91
530,2010-05-18 06:00:00,69.73
531,2010-05-18 06:20:00,1.78
532,2010-05-18 06:30:00,1.78
533,2010-05-18 06:40:00,2.21
534,2010-05-18 06:50:00,0.44
535,2010-05-18 07:00:00,3.7099999999999995
536,2010-05-18 07:10:00,2.38
537,2010-05-18 07:40:00,172.41000000000003
538,2010-05-18 07:50:00,41.46
539,2010-05-18 08:00:00,55.07000000000001
540,2010-05-18 08:10:00,3.75
541,2010-05-18 08:20:00,2.6700000000000004
542,2010-05-18 08:30:00,0.89
543,2010-05-18 08:40:00,6.550000000000001
544,2010-05-18 08:50:00,0.44
545,2010-05-18 09:00:00,3.56
546,2010-05-18 09:10:00,0.45
547,2010-05-18 09:20:00,10.99
548,2010-05-18 09:30:00,6.07
549,2010-05-18 09:40:00,59.46000000000001
550,2010-05-18 09:50:00,146.23
551,2010-05-18 10:00:00,30.799999999999997
